config,lang,n,em,f1,semantic
Baseline mT5 (1x),swa,295,0.01694915254237288,0.05522464352972827,0.27211740612983704
Baseline mT5 (1x),hau,300,0.03,0.057283056125161394,0.28786107897758484
Baseline mT5 (1x),yor,253,0.05138339920948617,0.10495702434541626,0.3217935562133789
Baseline ByT5 (1x),swa,295,0.003389830508474576,0.05781568713772103,0.2967747449874878
Baseline ByT5 (1x),hau,300,0.016666666666666666,0.04560894660894661,0.3170226812362671
Baseline ByT5 (1x),yor,253,0.05928853754940711,0.12178073642604535,0.37237614393234253
Matched-Vol mT5 (20x),swa,295,0.17627118644067796,0.21357785230168075,0.4227047562599182
Matched-Vol mT5 (20x),hau,300,0.22666666666666666,0.2605238095238095,0.46770620346069336
Matched-Vol mT5 (20x),yor,253,0.1857707509881423,0.23307444930078589,0.42541027069091797
Matched-Vol ByT5 (20x),swa,295,0.17966101694915254,0.2530800273173154,0.4844823181629181
Matched-Vol ByT5 (20x),hau,300,0.27666666666666667,0.3337727272727273,0.5589742064476013
Matched-Vol ByT5 (20x),yor,253,0.1976284584980237,0.286763719372415,0.4910885691642761
Multitask mT5 (NER→QA),swa,295,0.17627118644067796,0.2243370377268682,0.4257834851741791
Multitask mT5 (NER→QA),hau,300,0.27666666666666667,0.30570899470899476,0.5130866169929504
Multitask mT5 (NER→QA),yor,253,0.16996047430830039,0.25500562239692676,0.46743422746658325
Multitask ByT5 (NER→QA),swa,295,0.18983050847457628,0.2656228140973903,0.4547382891178131
Multitask ByT5 (NER→QA),hau,300,0.22666666666666666,0.29293650793650783,0.5149792432785034
Multitask ByT5 (NER→QA),yor,253,0.1541501976284585,0.25374046243611453,0.4551619291305542
mT5 LoRA Multitask,swa,295,0.1288135593220339,0.158031547073387,0.3585882782936096
mT5 LoRA Multitask,hau,300,0.2,0.22244973544973543,0.42261549830436707
mT5 LoRA Multitask,yor,253,0.16205533596837945,0.2223982348696307,0.4149358570575714
ByT5 LoRA Multitask,swa,295,0.05423728813559322,0.10833736884584345,0.31927889585494995
ByT5 LoRA Multitask,hau,300,0.05,0.09862433862433864,0.3170234262943268
ByT5 LoRA Multitask,yor,253,0.02766798418972332,0.07070591498509117,0.28351882100105286
Translation Pipeline,swa,295,0.12203389830508475,0.20231681933968884,
Translation Pipeline,hau,300,0.15666666666666668,0.23362888248927538,
Translation Pipeline,yor,253,0.05928853754940711,0.12178961985370851,
